Empresa,Relato
Gol Linhas Aéreas,"Boa tarde. Conforme documentos em anexo comprovante uma doença grave, infelizmente tive que cancelar uma viagem de final de ano. Com a Avianca e hotéis no exterior consegui reembolso total, mas o problema começou com os voos domésticos. Entendo que fiz a compra através de agencia decolar.com e que deveria solicitar a eles o reembolso, mas eles alegaram que a Gol e a Azul não aceitaram a solicitação de reembolso e não tenho alternativas a não ser recorrer por aqui. Com a Azul eles fizeram o reembolso total para decolar.com, com isso consegui que a decolar faça o reembolso, gostaria que a Gol fizesse o mesmo."
Latam Airlines (Tam),"Prezados, boa tarde Realizei a compra de 4 trechos, sendo eles: Sp x Lima e Lima x Cusco com saída em 13/11/2024. Hoje, entrei em contato com a central através do WhatsApp para solicitar uma alimentação sem glúten e sem lactose, onde a solicitação foi negada pela atendente da Companhia. A mesma me informou que só tenho direito a 1 solicitação. Informo que sou portadora de Doença de Crhon, onde não posso me alimentar com glúten e lactose. Não existe a possibilidade em ter apenas uma escolha. Me alimentar com qualquer uma das duas, coloca a minha vida em risco, tendo em vista que sou celíaca e tenho um alto nível de intolerância a lactose. Peço pra que a Companhia reveja a minha alimentação no voo, pois me oferecer qualquer alimento indevido, colocará minha vida em risco. Obrigada"
Azul Linhas Aéreas,"Fiz uma compra de 2 pessoas passagem Campinas - Orlando paguei 4138,00 inicialmente para dia 30/11 - porém precisei adiantar a minha ida porque tenho compromisso no dia 31/10 em Orlando - estou me mudando e paguei mais 4081,00 para alterar para dia 30/10. Com direito a 2 malas e espaço na econômica extra. No dia 17/10 a noite recebi e-mail e mensagem no celular alterando meu voo do dia 30 para dia 31/10. Depois de dezenas de ligações me colocaram no voo do dia 29/10, porém não é mesmo avião não terei direito a sentar no assento melhor, terei que pagar uma diária a mais de hotel, pq meu contrato de locação inicia no dia 30/10, e uma diária a mais de locação de carro. Pra minha surpresa o voo inicial do dia 30/11 tb está cancelado - então paguei o mesmo valor da viagem 4081,00 sem necessidade pq não vou usar os benefícios que eu precisava e ainda terei mais despesas. Quero o estorno desse valor 4081,00. O meu esposo e meu filho foram reacomodados em voos pessimos com escala para dia 30/11. Preciso do estorno da minha mudança de data. Já que vcs não tem o serviço para me oferecer."
Latam Airlines (Tam),"Eu e meu marido compramos passagem aérea na LATAM, de São Paulo para Fernando de Noronha, com conexão em Recife, operada pela parceira da Latam (Voe Pass). No aeroporto do destino, em Fernando de Noronha, ao pegar a mala na esteira, verificamos que ela havia sido danificada (rachada a fibra). Trata-se de uma mala marca Strada, da Le postiche. O conserto gira em torno de R$ 250,00, contudo, a recuperação estética da mala não é possível, de modo que se pleiteia o envio de outra mala ou os recursos necessários para adquirir outra. Abrimos o Relatório de Irregularidade de Bagagem com a voe pass (RIB em anexo), contudo, essa companhia aérea não resolve o problema, a não ser oferecer a quantia de R$ 90,00, o que não cobre o prejuízo. Em contato com a latam, se negaram a interceder ou solucionar o problema, alegando que tem de resolver com a voe pass. Contudo, eu comprei a passagem com a Latam , que portanto tem responsabilidade solidaria."
Ethiopian Airlines,"Devido a imprevistos para o voo na terça dia 03/09/2024, tentamos alterar a data para dia 05 0u 06 e os preços vieram elevados com multas, nowshow e deferenças de tarifas. Resolvemos pedir reembolso e nos enviaram formularios para pedir o mesmo. Preenchemos e enviamos , para o email da ethiopian Airlines, email dentro do prazo requerido para não cobrar o now show. Realizaram analise no Brasil (XXXXXXXXXXX@XXXXX.XXX) e devolveram dizendo que como tinhamos comprado e outra moeda deveria ser enviado a outro site no exterior ( XXXXXXXXXXX@XXXXX.XXX). Quando este site fez a análise nos cobrou no show por estar dentro das 24 horas antes do voo. Iniciamos a solicitação, preechemos o formulario dentro do prazo e eles terminaram a analise dentro das 24 horas antes do voo. Não temos culpa deles ficarem postergando a analise e trocando de site. Seria um problema interno deles e não nosso já que pedimos e preenchemos datamos e colocamos os nos formularios dentro dos prazos"
Samsung,"Em Data 17/10/2024 após atualização de software o aparelho apresentou listas verdes na tela que dificultam a visibilidade, linhas essas que são recorrentes em aparelhos da marca. na qual a mesma até realização o recall. apresentei o aparelho na assistência técnica e paguei a taxa de 60,00 reais para a analise. Entrei em contato com a marca e informei que não concordo em arcar com o valor do orçamento, visto que é um problema de fabricação do aparelho, mesmo o aparelho não estando no período de garantia ele não teve nenhuma avaria externa que pudesse danifica-lo, e sim um problema referente a má fabricação do aparelho e atualização de software enviada por eles."
Banco Volkswagen,"Realizei um financiamento junto a instituição financeira no montante de R$ 55.900,00 a ser pago em 48 parcelas de R$ 2.001,30. Ocorre que, ao buscar especialista, e em consulta junto às taxas do Banco Central do Brasil- BACEN, me foi dado o conhecimento de que as taxas aplicadas em contrato são abusivas e muito superiores ao permitido para o contrato na época da contratação. Assim sendo, estou realizando o pagamento da parcela na quantia de R$ 2.001,30, quando na verdade o valor correto com base nas taxas permitidas deveriam ser de R$ 1.144,07."
Oi Fixo,"Ao entrar em contato com a empresa para pedir o cancelamento do serviço, a mesma alegou que eu teria que pagar multa por quebra de termo de fidelização. Meu contrato nunca teve fidelização, a empresa adicionou esse termo sem meu consentimento e sem nenhum tipo de informação. Não assinei nenhum documento e nenhum contrato foi a mim apresentado. Já fiz três tentativas de cancelamento, a empresa vem apresentando barreiras até que futuras contas vençam para que eu não consiga cancelar por motivos de débitos."
Smiles,"Fiz a compra de uma viagem para Buenos Aires no dia 25/04/2024, onde o voo de origem era SSAXGIGXEZE com partida no dia 29/12/2024 as 06:05h do aeroporto de Salvador, chegada 08:15h no Galeão/RJ e partida para EZE as 17:30h do mesmo dia. Tive o voo interno alterado com mais uma conexão, onde a mesma inclui uma parada no aeroporto de VIX, e antecipando o horario. Entrei em contato para mudar o meu voo, pois desejo um voo direto de SSAXGIG. Vi no site que tem o voo 1871 que parte as 11:25h do dia 29/12, mas a atendente me disse que não poderia fazer essa alteração pois não estava disponivel, sabendo que o mesmo encontra-se disponivel para a venda."
Latam Airlines (Tam),"Prezados venho por meio desta narrar acontecimento referente a má prestação de serviços e geração de cobrança indevida. Ocorre que tinha um código de reserva JOIVJQ o qual inclui a viagem de 4 passageiros ( João, Cristiane, Melissa e Felipe que na ocasião é uma cobrança). Meu trecho era Salvador para Brasília com data 20/10/2024. Ocorre que fui acionado no meu trabalho e precisava retornar com uma maior urgência para Brasília, desta forma no dia 19/10 peguei um uber e fui até o aeroporto tentar antecipar o voo, pois precisava chegar ao meu destino até as 17:00. Fui orientado na balcão do loja latam, que eu deveria entrar no aplicativo 24 horas antes da partida do voo e remarcar horário dentro do mesmo dia. Assim eu fiz, entrei e efetuei o Pagamento de R$ 300,00 para remarcar as quatro passagens, desta forma eu conseguiria chegar em BSB às 16:55. No dia do embarque que ocorreria as 11:35, cheguei ao aeroporto por volta das 09:00 pois não estava conseguindo concluir o check in da criança pois não havia mais assento disponível, na ocasião descobri que o voo não havia mais vaga, por isso não conseguia mais fazer o check in. As atendentes procuraram de toda forma me ajudar, olharam em voos de outras cias etc.... e por alguma manobra interna realizada por eles, conseguiram me encaixar em um voo que chegaria em BSB as 20:00. Ora, que absurdo, no dia 19 eu me dirigi ao aeroporto para resolver um problema, chegar mais cedo ao meu destino, paguei por isso e na verdade cheguei mais tarde do que minha provisão original! Ainda pagando por isso, tendo custos de transportes e alimentação... pois seria inviável ficar no aeroporto das 09:00 até o final da tarde!"
Latam Airlines (Tam),"No dia 13/10/2024 enviei o formulário Medif, como previamente orientado pela equipe da LATAM airlines, para análise de desconto na compra de acompanhante de passageiro com autismo com 5 anos de idade. De acordo com o art. 10 § 1º O documento médico e o MEDIF devem ser avaliados pelo serviço médico do operador aéreo, especializado em medicina de aviação, com prazo para resposta de 48 (quarenta e oito) horas. O prazo de 48 horas já expirou e ainda não conseguimos resposta da LATAM. Como o desconto é concedido apenas após a análise do departamento médico, o passageiro é menor de 12 anos, a compra do passageiro e do acompanhante precisam ocorrer simultameamente. Estamos aguardando esta reposta para efetuar a compra das duas passagens, um com desconto de 80% para acompanhante, mas a resposta está demorando muito, o que inviabiliza o custo da compra da passagem."
Instituto Mix de Profissões,"Em 2021 efetuei a inscrição em um curso da empresa na filial de Piracicaba, fiz duas aulas e não me adaptei a didática do professor e decidi não frequentar mais aulas. Em 2022 meu nome foi para protesto, entrei em contato cm a empresa e renegociei, em 2023 precisei da carta de anuência para regularizar meu nome em cartório a empresa me enviou entretanto ficou pendente o reconhecimento de firma que o representante do polo disse que faria e não fez. Agora em 2024 entrei em contato novamente para resolver a situação e para minha surpresa a empresa não tem os comprovantes de pagamentos de 2022, encaminhei a carta que possuo com data e assinatura do responsável da época e mesmo assim continuam solicitando o comprovante de pagamento. Na relação empresa- cliente se invertem o ônus da prova. Assim sendo, não preciso enviar os comprovantes tendo a carta de anuência."
Oi Fixo,"foi feito o contato em setembro, mesmo assim não foi resolvido meu serviço de internet não esta funcionando, foi feito varias solicitações de serviços que não foi atendida, e depois a operadora entrou em conato falando que o técnico foi na residência e que não tinha ninguém ,sendo que não fui avisado que o técnico iria na minha casa, as vezes que foi marcado e avisado não compareceu"
Caixa Econômica Federal,"Meu nome é Fábio Alves Pitombeira, portador do CPF de nº XXX.XXX.XXX-XX e a tempos estou tentando buscar a aprovação da construção da minha casa com recursos financiados pela Caixa Econômica Federal, o que vêm a dias se tornando um transtor grande para mim e família. Hoje com muito custo consegui sanar minhas dívidas e renegociar outras, ficando assim sem nenhuma restrição de crédito junto aos orgãos competentes. Mas para minha surpresa o banco citado negou meu pedido por causa de um histórico desatualizado do SCR do Banco Central. As dívidas foram pagas ou negociadas e mesmo tendo explicado e provado que não tenho restrição junto aos orgãos de proteção de crédito, esse histórico acabou travando todo o processo e ainda continua. Eu e minha família já gastamos com licenças estaduais e municipais, gastamos com a elaboração do projeto da casa, gastamos com a avaliação do terreno por um engenheiro da Caixa, dentre outras e outras taxas para simplesmente chegarmos na última etapa e todo nosso sonho ser jogado no lixo porquê um sistema de histórico pesa mais do que os orgãos de proteção de crédito. Não é justo você se dedicar a um projeto, comprometer a sua renda e bem estar da família para poder quitar dívidas, parcelar outras e gastar com a elaboração de determinações da caixa, para no final tudo não valer de nada."
Auto Viação Progresso,"Fiz a compra de uma passagem pela internet na empresa progresso, Natal/Recife, pedi o cancelamento no dia seguinte. Fui informado que o valor será descontado a taxa, o que não pode, de acordo com o CDC, e que o valor só será liberado com 29 dias, e para receber eu tenho que ir numa agencia da Progresso, sendo que eu paguei via pix."
Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito),Meus dados estão sendo compartilhados e eu não autorizo isso. Quero que tire meu nome desses orgãos. Não dei nenhuma autorização.
Latam Airlines (Tam),"Boa tatde, Falei com a LATAM pela manhã sobre não conseguir comprar bagagem extra, e eles me repassaram para a Operadora do VOO , a Qatar. A Qatar por sua vez jogou novamente para LATAM. Preciso de uma solução da LATAM, para poder comprar com antecedência uma bagagem extra. EM anexo esta o retorno da Qatar sobre a reclamação que fiz logo mais."
Latam Airlines (Tam),"Gostaria de relatar, com profundo desgosto, a experiência traumatizante e extremamente desrespeitosa que tive em minha viagem com a cia aérea, que colocou não apenas minha segurança em risco, mas também me tratou de forma desumana durante todo o processo. Ao sair de Fortaleza, já com o voo atrasado, fui informada pela atendente de que seria obrigada a despachar minha mala de mão, mesmo contra a minha vontade. Até ali aceitei, porém quando a funcionária foi etiquetar minha mala, vi que ela seguiria diretamente para Joinville, ignorando o fato de que meu voo para Joinville seria somente no dia seguinte e que eu precisaria da bagagem em SP. Questionei essa informação, e me responderam que a mala iria sempre para o destino final, falei que dessa maneira não despacharia a mala, e voltei para a fila de embarque, na minha vez, fecharam a porta na minha cara e, com rispidez, disseram que eu só poderia embarcar se despachasse a mala de bordo. Diante dessa imposição, aceitei a contragosto, confiando na promessa da atendente de que ao desembarcar em SP, eu poderia solicitar a retirada da mala, inclusive para o comissário de bordo, e que a mala estaria disponível na saída do voo. Já dentro do avião, passei a viagem toda preocupada, sabendo que ao desembarcar teria que lidar com um novo problema, ao invés de simplesmente pegar minha mala e seguir meu caminho. Cheguei a SP à noite, e com a segurança já comprometida devido ao atraso do voo. Infelizmente, meus piores receios se confirmaram: ninguém no aeroporto sabia como proceder. Fui passada de um funcionário para outro, e após conversar com no mínimo cinco pessoas diferentes, finalmente me direcionaram para o check-in, no início do aeroporto. Lá, as atendentes me atenderam de maneira completamente desinteressada e disseram que o processo poderia levar até 4 horas. A essa altura, eu estava em pânico, pois teria que esperar mais 4 horas por um processo que foi gerado completamente pela cia aérea, uma mulher, em uma cidade como SP, tendo que viajar durante a madrugada, e sem qualquer suporte por parte da cia, o sentimento de insegurança e medo tomou conta de mim. Nessa situação, já sem esperanças e sentindo-me completamente desamparada, acabei chorando de frustração, ninguém se colocou no meu lugar. Após insistir muito e com a ajuda de um segurança do aeroporto, consegui recuperar minha mala. Deveria ter chegado ao hotel por volta das 21h, mas só consegui chegar à 1h da manhã, considerando atraso do voo e transtorno causado pela cia no despacho da minha mala. A situação que se desenhou foi totalmente desnecessária e causada pela absoluta falta de organização, empatia e comunicação por parte da cia. Essa experiência foi angustiante e inaceitável, especialmente considerando os riscos aos quais fui exposta. Toda essa angústia e estresse foram gerados exclusivamente pela cia aérea LATAM, fui exposta a um perigo real e senti-me completamente desrespeitada como cliente e, acima de tudo, como pessoa."
Uber,"Adicionei créditos ao UBER para poder utilizar em uma única corrida. Tive que adicionar 50 reais à conta uber por que era o valor mínimo permitido. Fiz uma corrida de aproximadamente R$ 13,85 e agora quero solicitar o valor restante à UBER. A empresa alega não ser possível fazer estornos."
Natura,"A NATURA ENTROU EM CONTATO COMIGO POR TELEFONE, INFORMANDO QUE TINHA UMA DIVIDA QUE FOI CONTRAIDA COMO REVENDEDORA, SENDO QUE NÃO HOUVE CADASTRO PARA SER REVENDEDORA E NEM COMPRA DE PRODUTOS NA REFERIDA EMPRESA. A MESMA ME INFORMOU O NUMERO QUE DEVERIA LIGAR (0800 0 11 5566) INFORMANDO QUE NÃO FIZ CADASTRO E NEM COMPRA , PORÉM NUMERO NÃO ME DÁ ACESSO PARA FALAR COM ATENDENTE. HOJE DIA 21/10/2024, ACESSEI O SERASA E MEU NOME FOI NEGATIVADO PELA NATURA COM A RAZAO SOCIAL RESTART FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA , NO VALOR DE R$ 698,77."
Banco BV (antigo Banco Votorantim),"Prezado(a), Solicito que entrem em contato o quanto antes para solucionarmos a pendência de eu não dispor das cópias dos contratos de empréstimos pessoais realizados com a sua empresa. Ressalto que já enviei toda a documentação pertinente e estou no aguardo das providências necessárias. Grato pela atenção e aguardo retorno."
Mapfre Capitalização,"Boa tarde. Liguei na Central pra abrir uma assistencia para minha residencia Às 13h30, e fui muito mal atendido. O que está acontecendo sempre. A colaboradora, nem chegou a informar o numero do protocolo para que pudesse informar por aqui. Um dos pontos é a informação do CPF. Digitei na URA, confirmei duas vezes, e na terceira informei que era o mesmo que digitei na URA e poderia confirmar, e a colaboradora informou que não tinha como ela saber, dai questionei sobre o porque de digitar no começo, e simplesmente dizem que não tem acesso e não saber o por que se pede. Deixou no mudo e 'supostamente' a ligação caiu. Sempre assim."
Cresol,"Prezados, Conforme comunicado de superendividamento enviado em demanda aberta anteriormente sob protocolo n° 2024/770300 venho através deste formalizar minha solicitação de renegociação de dívidas diretamente pelo PROCON e BACEN, uma vez que não obtive êxito em nenhuma das conversas via telefone e pela agência, onde somente me foi oferecido valores que não tenho condições alguma de pagar diante do meu cenário de superendividamento Sei que os bancos tendem a pedir para que o PROCON recuse tal demanda, mas neste pedido, estou seguindo a exata recomendação dada nos moldes do código de defesa do consumidor atualizado pela lei 14.181 em seu artigo 104-C. Compete concorrente e facultativamente aos órgãos públicos integrantes do Sistema Nacional de Defesa do Consumidor a fase conciliatória e preventiva do processo de repactuação de dívidas, nos moldes do art. 104-A deste Código. Reforço que nenhuma das minhas propostas eu ofereço pagar menos do que tomei emprestado com as devidas correções, pois estou ciente da minha OBRIGAÇÃO de pagar o PRINCIPAL EMPRESTADO e em nenhum momento tenho intenção premeditada de dar calote ou agir de má fé, pois a todo momento venho reforçando através de ATOS PRÁTICOS minha boa fé e intenção de negociar de forma que eu consiga pagar minhas obrigações de moradia, alimentação, saúde e transporte e honrar com as obrigações financeiras, e faço isso exatamente para não ter que buscar a justiça, pois acredito verdadeiramente que os senhores avaliarão os fatos e estarão dispostos a negociar aqui mesmo na fase conciliatória do superendividamento. Com isso esclarecido, segue minha proposta de negociação: Dados da dívida: (Preencher os dados da dívida e se for mais de uma, relacionar todas e fazer uma proposta com base na SOMA dos valores alvos das dívidas) Ofereço proposta para quitar a dívida no valor de R$ (5.500,00 ), e posso pagar esse valor apenas de forma parcelada em (60x de R$ 91,67 SEM JUROS) sem comprometer a manutenção dos itens básicos para minha família e para que consiga um acordo com todos os meus credores. Me coloco a disposição para receber uma contraproposta, mas de fato, não consigo assumir um valor acima do proposto, pois como informei no comunicado anterior, hoje, no Sistema de Informações de Crédito do Banco Central – SCR minha responsabilidade total em reais é de R$ 19.7336,00 em 11 bancos e instituições financeiras."
Nubank,"Em (data) verifiquei a o extrato ( cartão de crédito / conta corrente) na qual constava cobrança do serviço (indique o serviço cobrado exemplo: seguro, título de capitalização, etc) no valor (indique o valor da cobrança) que por mim não é reconhecido, pois eu não solicitei e não autorizei a contratação. (Descreva os contatos realizados com a empresa os indicando data, horário e o atendimento recebido e informe se o valor contestado foi ou não pago)"
Cartões Itaú,"Alguns meses atrás o Itaú simplesmente diminui meu limite do cartão, mesmo TODAS as minhas contas estando em dia. Agora eu preciso comprar uma bicicleta elétrica no valor aproximado de 6K que parcela em 12 x no cartão e não tenho limite sobrando pra isso, mesmo tendo condições de comprar dessa maneira, ja entrei em contato e tentei de todas as maneiras que eles aumente meu limite colocando +6K de limite no meu cartão e nada."
Samsung - Loja Online,"Prezados, Gostaria de expressar minha insatisfação em relação a um pedido realizado no site Samsung Estudantes, conforme os detalhes a seguir. Efetuei a compra do pedido de número XXX.XXX.XXX-XXXXXXX-X1 e, ao tentar realizar o pagamento utilizando a opção de dois cartões de crédito, o site apresentou um erro ao finalizar a transação. No entanto, foi realizada uma cobrança parcial no valor de R$ 1.999,00 em um dos cartões. Ao tentar atualizar a página para retomar o processo de pagamento, fui informada que o pedido estava cancelado, mas a cobrança no meu cartão não foi estornada. Entrei em contato com o suporte da Samsung e deixei claro que não desejava o estorno, mas sim concluir o pagamento do valor restante. Um caso foi aberto sob o número 06314688, e encaminhei as evidências de cobrança no meu cartão. No entanto, fui informada de que a única solução oferecida seria o estorno, o qual poderia levar até duas faturas para ser processado. Essa situação é inaceitável, uma vez que ficarei pagando parcelas por um produto que não recebi, com prazo de reembolso além do permitido pelo Código de Defesa do Consumidor, que prevê a devolução em até 30 dias. Enviei uma resposta ao e-mail sobre o estorno, reforçando meu desejo de concluir a compra ou, alternativamente, que fosse gerado um novo pedido com os valores e condições originais. Contudo, não recebi retorno e continuo sendo forçada a aceitar uma solução que não atende às minhas necessidades como consumidora. Na tentativa de resolver a questão de maneira amigável, entrei novamente em contato, desta vez solicitando ao departamento financeiro que gerasse um link para a compra dos mesmos produtos com os valores originais, considerando que os preços atuais mudaram e o cupom de desconto que obtive na ocasião já não é válido. Mesmo assim, não obtive sucesso. Diante disso, infelizmente, não vejo outra alternativa a não ser recorrer ao PROCON para buscar uma solução justa. O protocolo do último atendimento é 06337578 Aguardo uma solução imediata e satisfatória para este caso. O ESTORNO NÃO FOI NEM SOLICITADO PELA SAMSUNG AINDA, HOJE É DIA 21/10/2024. PRECISO DO ESTRONO MAIS RÁPIDO POSSÍVEL A cobrança foi realizada dia 13/10/2024."
Vivo - Telefônica,"Olá. Recebi uma oferta para migrar meu atual combo de R$170,00/mês para um combo com 500MB de velocidade de fibra + 50GB no Vivo Pós (e ainda +3GB utilizando fatura digital) por R$150,00/mês, mas não consigo realizar a mudança através do canal WhastApp. Sempre que tento, todo o fluxo me leva a uma nova contratação, não me dando a opção para mudar meu plano atual."
Luizacred,Fui aprovada em um cartão de crédito porém já faz mais de 5 anos que não utilizo e meu nome ainda consta nos órgãos de restrição. Empresas Luizacree S.A e Midway S.A
Electrolux - Eletrodomésticos/Eletroportáteis,"Em janeiro de 2024 efetuei a compra do aparelho, notei alguns defeitos como bateria e o sensor bem ruim, mas achei que fosse normal e em julho ele parou de vez quando resolvi levar até a assistência no dia 20/06/2024 os 36758 onde foi trocado a placa, o sensor e a bateria. Passado dois meses notei que o produto apresentava o mesmo defeito no sensor em menos de 3 meses da substituição do mesmo conforme falado na assistência, levando novamente ele me disse que poderia ser defeito de vício, e eu pedi pra eletrolux que não queria mais o conserto do produto, ela pediu então pra eu levar até a assistência e assim foi feito. No dia 16/10/24 levei novamente na assistência Os 40079 onde novamente foi constatado o problema no sensor que foi trocado em junho, deixei o aparelho lá e fiz contato com a eletrolux que me informou que novamente consertaria meu aparelho e era a única coisa que ele fariam, e negaram a troca ou devolução do dinheiro. Faltam 3 meses pra vencer a garantia e a placa provavelmente vai dar problema novamente e eu estarei sem garantia. Daí terei que arcar sempre com esse problema. Solicito que não conserte novamente o aparelho e sim me faça a devolução pois esse aparelho mais ficou parado aqui em casa do que funcionando."
Banpará,"Prezados, Meu nome é Ivaneide Pires Monteiro do Nascimento, e venho por meio desta registrar uma reclamação referente a uma dívida que está registrada em meu nome. Esta dívida foi gerada durante o período da pandemia, quando enfrentei dificuldades financeiras severas e fui forçada a interromper meus pagamentos devido ao desemprego. Entendo que as obrigações financeiras são importantes, mas a situação excepcional que vivemos foi um desafio inédito para muitos de nós. Por isso, peço a reconsideração dessa dívida, que tem me causado grande preocupação e impedido minha recuperação financeira. Espero que esta reclamação seja analisada com empatia e consideração, e estou disposta a discutir opções que possam levar à resolução deste problema. Agradeço pela atenção e aguardo um retorno. Atenciosamente, Ivaneide CPF XXX.XXX.XXX-XX"
LG Electronics,"Meu problema é em relação ao barramento de LEDs, a imagem da TV está com uma coloraçao puxada para o roxo, TV de boa qualidade nunca tive problema nenhum, porém isso já vem a algum tempo, acabei deixando pra lá por conta de já estar fora da garantia, porém, ao pesquisar sobre acabei descobrindo que é um problema crônico de aparelhos da empresa, principalmente de modelos de 2017/2018."
C&A,"fiz o cadastro no App C&A mas não uso faz um tempo e meu cartão cancelei, certo dia recebi uma mensagem no app em endereçada para Fábio e achei estranho pois o app esta cadastrado em meu nome, solicitei exclusão do cadastro do App mas eles não respondem obs: é exclusão do cadastro do App C&A (NÃO é o c&a pay esse já esta excluído)"
Bradesco Saúde,"Enviei solicitação medica para procedimento cirurgico; relatorio; imagens fotografica; exames e indicação medica detalhados, apos nova analise solicitação do Plano. No entanto, o procedimento foi autorizado parcialmente., apenas das evidencia e indicação."
Midway (Riachuelo),divida já caduco no serasa a Mas de 5 anos
Uber,"Ao tentar contratar uma corrida recebi a informação de que fui banido da empresa por não atender à política e às regras estabelecidas. Questionado sobre o que eu poderia ter feito, fui informado de que pela Lei de Proteção de Dados, a empresa não poderia me informar. Ocorre que, banir um consumidor dos serviços da empresa sem sequer informá-lo sobre o motivo que teria causado o banimento o impede de apresentar qualquer questionamento."
Hurb - Hotel Urbano,"Pedido 7126346 Olá, fiz minha compra em março de 2021 e o reembolso até hoje não foi feito. Me foi dada a data máximo de 08/2023, mais de um ano atrás. Todas as vezes que entro em contato só recebo mensagem automática e falando que logo irei receber. Infelizmente não quero ter que entrar com medidas legais, mas não vejo outra opção. Quero um posicionamento me informando a data de reembolso. Obrigada"
Banco Inter (Banco Intermedium),"Tenho uma dívida no cartão de crédito do mesmo banco, que está sendo negociada com uma empresa terceira, chamada Paschoalotto. Porém, os valores depositados em minha conta corrente estão sendo bloqueados para pagamento dessa dívida, sem a minha autorização. Trata-se de evidente abuso ou defeito na prestação do serviço, com sérias implicações para o consumidor, que já está enfrentando dificuldades financeiras. Há de ressaltar-se que, apesar de constar no contrato tal possibilidade, o banco Inter não permite a revogação dessa autorização, sendo impossível realizá-la através dos canais de atendimento, em verdadeiro excesso, contrário à Política de Defesa do Consumidor."
Vivo - Telefônica,"Moro na divisa de Belo Horizonte/MG com Sabará/MG, recebi um chip da Vivo no mês de julho/24 que não solicitei e entrei em contato em 29/07/24 pelo site da empresa (protocolo XXX.XXX.XXX-XX4472) solicitando o cancelamento da linha ligada ao chip. Este protocolo nunca foi respondido no site até hoje (21/10/24). Após eu verificar cobrança de faturas não pagas deste chip/linha/nº de telefone no site do Serasa, entrei em contato com a empresa pelo nº 1058. Eu consegui hoje (21/10/24), ao entrar em contato com a empresa (protocolo XXX.XXX.XXX-XX657), a suspensão da linha, mas fui informado que as faturas geradas constam como débito no sistema, mesmo após eu informar que nunca ativei o chip. Fui informado que deveria abrir contestação no setor financeiro e que o sistema ativa o chip automaticamente após passado algum tempo, dois procedimentos que acho um desrespeito e um absurdo, pois a própria empresa já deveria ter entendido minha situação, cancelando tudo, sem eu ter de abrir contestação de valores, além de, sobre a ativação automática, venho dizer, dentro do meu direito de opinar, que esta para mim deveria ser proibida, pois o cliente é que tem o direito de ativar o serviço que ele contrata, até para evitar fraudes. É um absurdo estes tipos de procedimentos, impondo condições e orientações contestáveis e desrespeitosas. Outro detalhe, é que eu não moro no Rio de Janeiro."
Cartões Renner (Realize CFI),Cadastro já cancelado a mas de 5 anos
Google,"formatei celular acabei perdendo acesso a minha conta ela tem verificação de duas etapas quando coloco codigo que chega no celular, pede um codigo no email so que nao tenho acesso a esse email pois estou tentando recupera ele voces poderiam me ajudar ? email: XXXXXXXXXXX@XXXXX.XXX"
Gol Linhas Aéreas,"Estou precisando incluir um bebê de colo (terá 1 ano e 6 meses na data da viagem) na minha reserva (IYDUTS) feita para o voo que sai de Belo Horizonte e vai para Vitória no dia 28/12/2024. Acontece que em nenhum dos caminhos tentados estão resolvendo meu problema. Sei que, pela idade da criança, o serviço é de graça, e basta incluir na reserva e comparecer ao aeroporto com o documento original da criança, tal como certidão de nascimento, porém não consigo que alguém da Gol me ajude."
Correios,"REALIZEI UMA COMPRA NA AMAZON, HOUVE TENTATIVA DE ENTREGA 2 VEZES E AGORA INFORMA QUE PRECISO RETIRAR NA AGENCIA DA RUA R. Vasconcelos Fernandes, 226 - Amambai, Campo Grande - MS. PORÉM TENTO ENTRAR EM CONTATO COM A AGENCIA E NINGUEM ATENDE, TENTEI DIVERSAS VEZES. TENTO CONTATO NO NUMERO DOS CORREIOS E NÃO ENCONTRA O RASTREIO E DESLIGA A LIGAÇÃO, NA OUVIDORIA FIQUEI NA ESPERA POR 9 MINUTOS ATÉ INFORMAR PARA LIGAR MAIS TARDE. TENTEI NOVAMENTE MAIS TARDE E ACONTECE A MESMA COISA. NÃO CONSIGO CONTATO POR NENHUM CANAL NA EMPRESA!"
